"","Taxon","Phylum","Class","Order","Family","Genus","logFC","p_value","q_value","Significant","Direction","Taxon_ID","TaxonLabel"
"44","Treponema","Spirochaetota","Spirochaetia","Spirochaetales","Treponemataceae","Treponema",3.09226075025071,4.2550440697357e-11,4.16048753485268e-10,TRUE,"BF enriched","Genus_41","Treponema"
"45","Hydrogeniiclostridium","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Hydrogeniiclostridium",0.994341972844084,0.0405514352130396,0.0678275914614016,FALSE,"Not Sig","Genus_42",NA
"46","Prevotella","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",2.32146267330558,6.61487628363999e-07,4.15792223543085e-06,TRUE,"BF enriched","Genus_43","Prevotella"
"47","Massiliprevotella","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Massiliprevotella",2.56016706352746,1.44439376498445e-08,1.27106651318631e-07,TRUE,"BF enriched","Genus_44","Massiliprevotella"
"48","Coprococcus","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus",-0.26140996205027,0.659547186471952,0.734685473538377,FALSE,"Not Sig","Genus_45",NA
"49","Bilophila","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila",-1.6551005621143,5.40396501104526e-05,0.000206760400422601,TRUE,"EU enriched","Genus_46","Bilophila"
"50","Enterobacter","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",-0.362131911350021,0.355889622403719,0.434976205160101,FALSE,"Not Sig","Genus_48",NA
"51","Butyrivibrio","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio",1.65841109600619,1.03114161691119e-05,5.33767425224615e-05,TRUE,"BF enriched","Genus_49","Butyrivibrio"
"52","Agathobacter","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Agathobacter",-1.77291190141374,0.0375460557736502,0.0647853511388475,FALSE,"Not Sig","Genus_5",NA
"53","Faecalimonas","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Faecalimonas",-0.631189561183698,0.227251510897588,0.307663583984428,FALSE,"Not Sig","Genus_50",NA
"54","Sellimonas","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Sellimonas",-0.522998182563201,0.235326148456809,0.309085090510435,FALSE,"Not Sig","Genus_51",NA
"55","Sporobacter","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Sporobacter",1.64296730243597,0.00102550942704579,0.00300816098600099,TRUE,"BF enriched","Genus_52","Sporobacter"
"56","Lactobacillus","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",-0.803715176834302,0.04991685442515,0.0813459849891333,FALSE,"Not Sig","Genus_53",NA
"57","Dysosmobacter","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter",-1.20467302925631,0.0136369974588021,0.0266679061416574,TRUE,"EU enriched","Genus_54","Dysosmobacter"
"58","Sarcina","Bacillota","Clostridia","Eubacteriales","Clostridiaceae_1","Sarcina",1.07451412302617,0.00281695775598317,0.00652348111911892,TRUE,"BF enriched","Genus_55","Sarcina"
"59","Turicibacter","Bacillota","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter",0.168450331089634,0.714451641323951,0.766728590689118,FALSE,"Not Sig","Genus_56",NA
"60","Anthropogastromicrobium","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anthropogastromicrobium",0.202644768593256,0.73010190040502,0.774083942598094,FALSE,"Not Sig","Genus_58",NA
