Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR011071	(1.0, 6.313010081613058)	(2.0, 2.4483917426788286)	(3.0, 1.1521843494959194)	(4.0, 0.7681228996639462)	(5.0, 0.6801088174107857)	(6.0, 0.4320691310609697)	(7.0, 0.3360537686029765)	(8.0, 0.7041126580252841)	(9.0, 0.7921267402784445)	('>10', 12.738038086093775)	('>50', 8.073291726676269)	('>100', 30.908945431269004)	('>500', 11.801888302128342)	('>1k', 22.8516562650024)	('>5k', 0.0)	('>10k+', 0.0)
ERR011072	(1.0, 5.43963458943216)	(2.0, 2.076196408180214)	(3.0, 1.027717222049206)	(4.0, 0.8304785632720855)	(5.0, 0.7266687428630748)	(6.0, 0.3114294612270321)	(7.0, 0.6540018685767673)	(8.0, 0.24914356898162568)	(9.0, 0.4671441918405481)	('>10', 9.89307588497872)	('>50', 3.2181044326793313)	('>100', 13.837849060521126)	('>500', 5.688778158413786)	('>1k', 55.57977784698432)	('>5k', 0.0)	('>10k+', 0.0)
ERR011073	(1.0, 6.124417296254622)	(2.0, 2.068263408883888)	(3.0, 1.334190644590902)	(4.0, 0.857311257568451)	(5.0, 0.857311257568451)	(6.0, 0.6429834431763382)	(7.0, 0.6376252478165354)	(8.0, 0.30005894014895784)	(9.0, 0.19289503295290145)	('>10', 8.1766061190591)	('>50', 6.612013073996678)	('>100', 32.14917215881691)	('>500', 8.283770026255159)	('>1k', 31.763382092911108)	('>5k', 0.0)	('>10k+', 0.0)
ERR011074	(1.0, 5.029366763733281)	(2.0, 1.7274566901929818)	(3.0, 1.1845417304180446)	(4.0, 0.6317555895562904)	(5.0, 0.46888110162380925)	(6.0, 0.5626573219485712)	(7.0, 0.34549133803859633)	(8.0, 0.2763930704308771)	(9.0, 0.22210157445338335)	('>10', 5.779576526331375)	('>50', 7.408321405656186)	('>100', 18.217264695720843)	('>500', 33.1967819949657)	('>1k', 24.949410196930064)	('>5k', 0.0)	('>10k+', 0.0)
ERR011075	(1.0, 8.03090373081224)	(2.0, 2.399105418318593)	(3.0, 1.9213174748398902)	(4.0, 1.0165700925078784)	(5.0, 0.4574565416285453)	(6.0, 0.8539188777066178)	(7.0, 0.8539188777066178)	(8.0, 0.7319304666056725)	(9.0, 0.8234217749313815)	('>10', 13.96767307105825)	('>50', 6.089254854122192)	('>100', 24.570499135915423)	('>500', 14.069330080309037)	('>1k', 24.214699603537664)	('>5k', 0.0)	('>10k+', 0.0)
ERR011076	(1.0, 4.90901085999413)	(2.0, 2.127971822717934)	(3.0, 0.9245670678015849)	(4.0, 0.7631347226298797)	(5.0, 0.587026709715292)	(6.0, 0.39624302905782216)	(7.0, 0.2054593484003522)	(8.0, 0.4109186968007044)	(9.0, 0.0)	('>10', 6.083064279424714)	('>50', 5.077781039037276)	('>100', 8.871441150572352)	('>500', 10.65453478133255)	('>1k', 58.988846492515414)	('>5k', 0.0)	('>10k+', 0.0)
ERR011077	(1.0, 4.522332506203474)	(2.0, 1.6129032258064515)	(3.0, 1.098014888337469)	(4.0, 0.7196029776674938)	(5.0, 0.6513647642679901)	(6.0, 0.8188585607940446)	(7.0, 0.607940446650124)	(8.0, 0.34739454094292804)	(9.0, 0.3349875930521092)	('>10', 5.787841191066997)	('>50', 2.0471464019851116)	('>100', 21.61910669975186)	('>500', 18.939205955334987)	('>1k', 40.89330024813896)	('>5k', 0.0)	('>10k+', 0.0)
ERR011078	(1.0, 4.788927335640138)	(2.0, 1.5224913494809689)	(3.0, 0.9757785467128027)	(4.0, 0.4982698961937716)	(5.0, 0.4844290657439446)	(6.0, 0.4982698961937716)	(7.0, 0.4844290657439446)	(8.0, 0.11072664359861592)	(9.0, 0.31141868512110726)	('>10', 7.653979238754325)	('>50', 1.259515570934256)	('>100', 30.23529411764706)	('>500', 10.055363321799309)	('>1k', 41.121107266435985)	('>5k', 0.0)	('>10k+', 0.0)
ERR011079	(1.0, 5.181452985633554)	(2.0, 1.9473003336283787)	(3.0, 1.1438687274460406)	(4.0, 0.6264043031252128)	(5.0, 0.9532239395383674)	(6.0, 0.4902294546197317)	(7.0, 0.42895077279226523)	(8.0, 0.7625791516306938)	(9.0, 0.24511472730986586)	('>10', 7.047048410158643)	('>50', 2.437529788248111)	('>100', 19.418533396881596)	('>500', 3.6086334853952478)	('>1k', 55.709130523592286)	('>5k', 0.0)	('>10k+', 0.0)
ERR011080	(1.0, 4.790260685457192)	(2.0, 1.702615676414803)	(3.0, 0.899827974063782)	(4.0, 0.6704600591063473)	(5.0, 0.41903753694146706)	(6.0, 0.6351726875744342)	(7.0, 0.46314675135635835)	(8.0, 0.1764368576595651)	(9.0, 0.277888050813815)	('>10', 6.475232676106038)	('>50', 4.865246349962507)	('>100', 15.694058488818314)	('>500', 37.96038992545543)	('>1k', 24.970226280269948)	('>5k', 0.0)	('>10k+', 0.0)
ERR011081	(1.0, 7.2967590077856235)	(2.0, 2.1546261089987326)	(3.0, 1.4937533948940793)	(4.0, 0.9415172913271772)	(5.0, 0.6337135614702154)	(6.0, 0.48886474741988045)	(7.0, 0.5703422053231939)	(8.0, 0.3621220351258374)	(9.0, 0.8147745790331342)	('>10', 13.40756835053413)	('>50', 11.108093427485063)	('>100', 23.76425855513308)	('>500', 11.1352525801195)	('>1k', 25.828354155350354)	('>5k', 0.0)	('>10k+', 0.0)
ERR011082	(1.0, 5.601353933504394)	(2.0, 1.9763061636730905)	(3.0, 1.1137194955505814)	(4.0, 0.807992575203363)	(5.0, 0.46404978981274225)	(6.0, 0.5568597477752907)	(7.0, 0.5350221106076323)	(8.0, 0.43675274335316916)	(9.0, 0.24567341813615767)	('>10', 9.0025659223672)	('>50', 7.146366763116231)	('>100', 22.449091008352895)	('>500', 13.2609051700606)	('>1k', 36.403341158486654)	('>5k', 0.0)	('>10k+', 0.0)
ERR011083	(1.0, 6.585896241068655)	(2.0, 2.205653929791861)	(3.0, 1.30475302889096)	(4.0, 1.4290152221186705)	(5.0, 0.5824790307548928)	(6.0, 0.6989748369058714)	(7.0, 0.32618825722274)	(8.0, 0.6834420627524076)	(9.0, 0.3494874184529357)	('>10', 10.733146940043492)	('>50', 7.743087915501709)	('>100', 21.342031686859272)	('>500', 0.0)	('>1k', 46.01584342963653)	('>5k', 0.0)	('>10k+', 0.0)
ERR011084	(1.0, 6.624989851424861)	(2.0, 2.2732808313712756)	(3.0, 1.4370382398311277)	(4.0, 1.558821141511732)	(5.0, 0.933668912884631)	(6.0, 0.6819842494113827)	(7.0, 0.6251522286271007)	(8.0, 0.389705285377933)	(9.0, 0.43841844605017455)	('>10', 10.55451814565235)	('>50', 8.914508403020216)	('>100', 30.250872777462046)	('>500', 7.396281562068685)	('>1k', 27.920759925306488)	('>5k', 0.0)	('>10k+', 0.0)
ERR011085	(1.0, 5.597516813243663)	(2.0, 2.183135023279876)	(3.0, 1.3812726332126228)	(4.0, 0.6828763579927574)	(5.0, 0.6983962752198655)	(6.0, 0.6518365235385412)	(7.0, 0.28970512157268496)	(8.0, 0.37247801345059495)	(9.0, 0.46559751681324363)	('>10', 7.806518365235385)	('>50', 6.704604242110709)	('>100', 26.78737713398862)	('>500', 17.501293326435594)	('>1k', 28.877392653905847)	('>5k', 0.0)	('>10k+', 0.0)
ERR011086	(1.0, 8.175575948148623)	(2.0, 2.926265802477058)	(3.0, 1.4246294038375151)	(4.0, 1.07809792722839)	(5.0, 0.8342424436886351)	(6.0, 1.07809792722839)	(7.0, 0.539048963614195)	(8.0, 0.8214079445549638)	(9.0, 0.46204196881216714)	('>10', 9.888981582493743)	('>50', 6.924212282615672)	('>100', 23.570557658987358)	('>500', 7.585188987999743)	('>1k', 34.69165115831355)	('>5k', 0.0)	('>10k+', 0.0)
