Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR011068	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0038289090289502915)	(37.0, 0.007657818057900583)	(38.0, 0.007657818057900583)	(39.0, 0.01914454514475146)	(40.0, 0.03446018126055263)	(41.0, 0.09955163475270758)	(42.0, 0.2335634507659678)	(43.0, 0.3828909028950292)	(44.0, 0.6279410807478478)	(45.0, 1.0338054378165789)	(46.0, 1.5213531875029158)	(47.0, 1.7389628506482575)	(48.0, 2.2201290852863447)	(49.0, 4.578737047119712)	(50.0, 4.791241498226462)	(51.0, 5.803349784879015)	(52.0, 5.400676185334394)	(53.0, 5.33430842883259)	(54.0, 16.398196328585676)	(55.0, 33.62854221946762)	(56.0, 9.739468266639905)	(57.0, 2.118024844514339)	(58.0, 0.6709524921730562)	(59.0, 0.2820629651326715)	(60.0, 0.0995516347527076)	(61.0, 0.06509145349215496)	(62.0, 0.05743363543425437)	(63.0, 0.03446018126055263)	(64.0, 0.011486727086850876)	(65.0, 0.02297345417370175)	(66.0, 0.030631272231602332)	(67.0, 0.0459469083474035)	(68.0, 0.08806490766585671)	(69.0, 0.16847199727381285)	(70.0, 0.2565369049396696)	(71.0, 0.3637463577502777)	(72.0, 0.5015870827924882)	(73.0, 0.5475339911398918)	(74.0, 0.4364956293003332)	(75.0, 0.2909970862002222)	(76.0, 0.16081417921591226)	(77.0, 0.05743363543425437)	(78.0, 0.030631272231602332)	(79.0, 0.02680236320265204)	(80.0, 0.01914454514475146)	(81.0, 0.007657818057900583)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011069	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.01191885642545555)	(39.0, 0.02979714106363887)	(40.0, 0.0953508514036444)	(41.0, 0.2502959849345665)	(42.0, 0.530389110932772)	(43.0, 0.9564882281428079)	(44.0, 1.6328833302874102)	(45.0, 2.7353775496420485)	(46.0, 4.374220308142187)	(47.0, 5.389309580376818)	(48.0, 5.229398256668618)	(49.0, 12.627035144734936)	(50.0, 14.577158703546395)	(51.0, 15.577945348070307)	(52.0, 20.983146737013715)	(53.0, 10.219426146792811)	(54.0, 2.7685517000262347)	(55.0, 0.7886310001509756)	(56.0, 0.35756569276366645)	(57.0, 0.27413369778547764)	(58.0, 0.1360736108572842)	(59.0, 0.2423500806509295)	(60.0, 0.149978943353649)	(61.0, 0.03873628338273054)	(62.0, 0.01191885642545555)	(63.0, 0.005959428212727775)	(64.0, 0.005959428212727775)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011070	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.005050313143464077)	(36.0, 0.010100626286928155)	(37.0, 0.025251565717320384)	(38.0, 0.04040250514771262)	(39.0, 0.04040250514771262)	(40.0, 0.07070438400849709)	(41.0, 0.25251565717320384)	(42.0, 0.5605847589245125)	(43.0, 0.9292576183973902)	(44.0, 1.5302448824696155)	(45.0, 2.686766592322889)	(46.0, 4.535181202830742)	(47.0, 5.397101312648609)	(48.0, 4.697632942278824)	(49.0, 16.36335127236593)	(50.0, 15.427023215567882)	(51.0, 11.119106104193559)	(52.0, 18.347282618889878)	(53.0, 10.86574872816313)	(54.0, 3.1244603980897745)	(55.0, 1.5249540782240802)	(56.0, 1.1085437349903633)	(57.0, 0.5184988160623121)	(58.0, 0.2794506606050122)	(59.0, 0.2289475291703715)	(60.0, 0.24830706288698381)	(61.0, 0.04797797486290873)	(62.0, 0.010100626286928155)	(63.0, 0.005050313143464077)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011071	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.013567061500458874)	(39.0, 0.04070118450137662)	(40.0, 0.07461883825252381)	(41.0, 0.24420710700825973)	(42.0, 0.6173012982708788)	(43.0, 1.0785813892864806)	(44.0, 1.8179862410614893)	(45.0, 2.8151652613452165)	(46.0, 3.9954996118851387)	(47.0, 4.331284384021496)	(48.0, 4.558532664154182)	(49.0, 18.364148329329318)	(50.0, 20.141433385889158)	(51.0, 13.471769044682121)	(52.0, 15.032078024816958)	(53.0, 6.779008396395893)	(54.0, 2.739415834634324)	(55.0, 1.641614441555523)	(56.0, 0.4714553871409459)	(57.0, 0.42397067188933973)	(58.0, 0.3945753719716787)	(59.0, 0.37196360280424745)	(60.0, 0.4963283332251205)	(61.0, 0.05766001137695022)	(62.0, 0.02035059225068831)	(63.0, 0.006783530750229437)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011072	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.009601628436182744)	(39.0, 0.06721139905327922)	(40.0, 0.3072521099578478)	(41.0, 0.7489270180222541)	(42.0, 1.2962198388846706)	(43.0, 2.5732364208969756)	(44.0, 3.831049746036915)	(45.0, 6.785150761569141)	(46.0, 7.951748616565343)	(47.0, 5.306499982396999)	(48.0, 9.636834407115309)	(49.0, 20.601894081236427)	(50.0, 16.7500408069209)	(51.0, 12.437309367668723)	(52.0, 5.027092594904087)	(53.0, 2.3796035807672897)	(54.0, 1.1057875415670462)	(55.0, 0.7361248467740104)	(56.0, 1.009771257205219)	(57.0, 0.40006785150761437)	(58.0, 0.3472588951086093)	(59.0, 0.47047979337295454)	(60.0, 0.1728293118512894)	(61.0, 0.038406513744730975)	(62.0, 0.009601628436182744)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011073	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.004383913958382126)	(38.0, 0.008767827916764252)	(39.0, 0.026303483750292758)	(40.0, 0.10083002104278888)	(41.0, 0.2498830956277812)	(42.0, 0.6838905775076116)	(43.0, 1.468611176058012)	(44.0, 2.406768763151787)	(45.0, 3.289689034369947)	(46.0, 4.002513444002881)	(47.0, 4.660100537760198)	(48.0, 5.4626490530746885)	(49.0, 13.54950900163666)	(50.0, 17.42824994154726)	(51.0, 15.48135375263026)	(52.0, 16.25730652326375)	(53.0, 8.650192892214493)	(54.0, 2.799129062426988)	(55.0, 1.2990998363339032)	(56.0, 0.5012274959083564)	(57.0, 0.4646948795885055)	(58.0, 0.31929506663549817)	(59.0, 0.37190203413608364)	(60.0, 0.4128185644143168)	(61.0, 0.07452653729249614)	(62.0, 0.013151741875146379)	(63.0, 0.004383913958382126)	(64.0, 0.004383913958382126)	(65.0, 0.004383913958382126)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011074	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.004566786976132461)	(36.0, 0.013700360928397382)	(37.0, 0.018267147904529844)	(38.0, 0.022833934880662307)	(39.0, 0.03653429580905969)	(40.0, 0.06393501766585445)	(41.0, 0.1872382660214309)	(42.0, 0.4338447627325838)	(43.0, 0.7946209338470481)	(44.0, 1.3182791737769035)	(45.0, 1.8982611197457266)	(46.0, 2.712671463822682)	(47.0, 3.141949439579133)	(48.0, 3.691486139040398)	(49.0, 9.634398257314356)	(50.0, 14.555111224096365)	(51.0, 12.230616653245347)	(52.0, 10.422169010697074)	(53.0, 8.788781535567056)	(54.0, 6.817451824203132)	(55.0, 14.341537819846145)	(56.0, 3.7082310246195545)	(57.0, 1.5009506528222025)	(58.0, 1.6904723123317007)	(59.0, 1.387542109581579)	(60.0, 0.4878850752834846)	(61.0, 0.04110108278519215)	(62.0, 0.015983754416463613)	(63.0, 0.022833934880662307)	(64.0, 0.016744885579152356)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011075	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.008933037947545177)	(38.0, 0.017866075895090355)	(39.0, 0.017866075895090355)	(40.0, 0.07146430358036142)	(41.0, 0.22332594868862948)	(42.0, 0.5449153148002559)	(43.0, 0.9379689844922438)	(44.0, 1.3131565782891412)	(45.0, 1.813406703351671)	(46.0, 2.221348769622901)	(47.0, 2.355344338836079)	(48.0, 3.7116772672050296)	(49.0, 5.380666523738047)	(50.0, 7.515662593201318)	(51.0, 11.065056337692626)	(52.0, 10.60947140236782)	(53.0, 8.830308011148386)	(54.0, 12.480049548583859)	(55.0, 16.76582338788463)	(56.0, 7.29382548417062)	(57.0, 2.2302818075704445)	(58.0, 0.9558350603873347)	(59.0, 0.4823840491674395)	(60.0, 0.4913170871149848)	(61.0, 0.6193572976964656)	(62.0, 0.515138521641772)	(63.0, 0.3439219609804893)	(64.0, 0.30818980919030864)	(65.0, 0.30372329021653605)	(66.0, 0.1652612020295858)	(67.0, 0.07593082255413401)	(68.0, 0.03573215179018071)	(69.0, 0.026799113842635537)	(70.0, 0.026799113842635537)	(71.0, 0.06253126563281625)	(72.0, 0.09826341742299696)	(73.0, 0.06253126563281625)	(74.0, 0.013399556921317769)	(75.0, 0.004466518973772589)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011076	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.01325876017333621)	(39.0, 0.04640566060667674)	(40.0, 0.125958221646694)	(41.0, 0.3049514839867329)	(42.0, 0.6099029679734658)	(43.0, 1.2927291169002806)	(44.0, 2.0396392733315536)	(45.0, 3.559977106540772)	(46.0, 5.164287087514454)	(47.0, 4.147782140892011)	(48.0, 3.57434076339523)	(49.0, 18.283167341021645)	(50.0, 10.29984686132019)	(51.0, 4.8001131414201375)	(52.0, 7.604340918080754)	(53.0, 6.522205108600292)	(54.0, 2.906983168003966)	(55.0, 2.3269124104205057)	(56.0, 1.2628969065102742)	(57.0, 3.8748726606575157)	(58.0, 3.9069146644097392)	(59.0, 10.97825342352239)	(60.0, 5.672539560825675)	(61.0, 0.5867001376701273)	(62.0, 0.050825247331122134)	(63.0, 0.03093710707111782)	(64.0, 0.01325876017333621)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
ERR011077	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.005573471760678314)	(38.0, 0.011146943521356627)	(39.0, 0.005573471760678314)	(40.0, 0.01672041528203494)	(41.0, 0.08360207641017471)	(42.0, 0.21959478737072555)	(43.0, 0.4012899667688386)	(44.0, 0.6911104983241109)	(45.0, 1.2540311461526206)	(46.0, 1.6590367607619116)	(47.0, 1.7249895099299382)	(48.0, 2.61395825575814)	(49.0, 3.7453730231758207)	(50.0, 5.020769144411046)	(51.0, 5.607841503202491)	(52.0, 4.723517317174865)	(53.0, 6.405776876939607)	(54.0, 6.520961959993624)	(55.0, 7.178631627753679)	(56.0, 5.406931116400891)	(57.0, 3.2657890483403174)	(58.0, 9.504627175876964)	(59.0, 18.188096179013243)	(60.0, 11.415399077829317)	(61.0, 2.1782985464651077)	(62.0, 0.9920779734007398)	(63.0, 0.5071859302217265)	(64.0, 0.25080622923052415)	(65.0, 0.12818985049560122)	(66.0, 0.06130818936746145)	(67.0, 0.027867358803391567)	(68.0, 0.03344083056406988)	(69.0, 0.04458777408542651)	(70.0, 0.03344083056406988)	(71.0, 0.027867358803391567)	(72.0, 0.022293887042713255)	(73.0, 0.01672041528203494)	(74.0, 0.005573471760678314)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
